product_display,expire_date,contract_dt
VX+VXT36/U8,2018-09-05,2018-09-05
VX+VXT37/U8,2018-09-12,2018-09-12
VX+VXT39/U8,2018-09-26,2018-09-26
VX+VXT40/V8,2018-10-03,2018-10-03
VX+VXT41/V8,2018-10-10,2018-10-10
VX+VXT43/V8,2018-10-24,2018-10-24
VX+VXT44/V8,2018-10-31,2018-10-31
VX+VXT45/X8,2018-11-07,2018-11-07
VX+VXT46/X8,2018-11-14,2018-11-14
VX+VXT48/X8,2018-11-28,2018-11-28
VX+VXT49/Z8,2018-12-05,2018-12-05
VX+VXT50/Z8,2018-12-12,2018-12-12
VX+VXT52/Z8,2018-12-26,2018-12-26
VX+VXT/F9,2019-01-16,2019-01-16
VX+VXT/G9,2019-02-13,2019-02-13
VX+VXT/H9,2019-03-19,2019-03-19
VX+VXT/J9,2019-04-17,2019-04-17
VX+VXT/K9,2019-05-22,2019-05-22
VX+VXT/M9,2019-06-19,2019-06-19
VX+VXT/N9,2019-07-17,2019-07-17
VX+VXT/Q9,2019-08-21,2019-08-21
VX+VXT/U9,2019-09-18,2019-09-18
VX+VXT/V9,2019-10-16,2019-10-16
VX+VXT/X9,2019-11-20,2019-11-20
VX+VXT/Z9,2019-12-18,2019-12-18
VX+VXT01/F9,2019-01-02,2019-01-02
VX+VXT02/F9,2019-01-09,2019-01-09
VX+VXT04/F9,2019-01-23,2019-01-23
VX+VXT05/F9,2019-01-30,2019-01-30
VX+VXT06/G9,2019-02-06,2019-02-06
VX+VXT08/G9,2019-02-20,2019-02-20
VX+VXT09/G9,2019-02-27,2019-02-27
VX+VXT10/H9,2019-03-06,2019-03-06
VX+VXT11/H9,2019-03-13,2019-03-13
VX+VXT13/H9,2019-03-27,2019-03-27
VX+VXT14/J9,2019-04-03,2019-04-03
VX+VXT15/J9,2019-04-10,2019-04-10
VX+VXT17/J9,2019-04-24,2019-04-24
VX+VXT18/K9,2019-05-01,2019-05-01
VX+VXT19/K9,2019-05-08,2019-05-08
VX+VXT20/K9,2019-05-15,2019-05-15
VX+VXT22/K9,2019-05-29,2019-05-29
VX+VXT23/M9,2019-06-05,2019-06-05
VX+VXT24/M9,2019-06-12,2019-06-12
VX+VXT26/M9,2019-06-26,2019-06-26
VX+VXT27/N9,2019-07-03,2019-07-03
VX+VXT28/N9,2019-07-10,2019-07-10
VX+VXT30/N9,2019-07-24,2019-07-24
VX+VXT31/N9,2019-07-31,2019-07-31
VX+VXT32/Q9,2019-08-07,2019-08-07
VX+VXT33/Q9,2019-08-14,2019-08-14
VX+VXT35/Q9,2019-08-28,2019-08-28
VX+VXT36/U9,2019-09-04,2019-09-04
VX+VXT37/U9,2019-09-11,2019-09-11
VX+VXT39/U9,2019-09-25,2019-09-25
VX+VXT40/V9,2019-10-02,2019-10-02
VX+VXT41/V9,2019-10-09,2019-10-09
VX+VXT43/V9,2019-10-23,2019-10-23
VX+VXT44/V9,2019-10-30,2019-10-30
VX+VXT45/X9,2019-11-06,2019-11-06
VX+VXT46/X9,2019-11-13,2019-11-13
VX+VXT48/X9,2019-11-27,2019-11-27
VX+VXT49/Z9,2019-12-04,2019-12-04
VX+VXT50/Z9,2019-12-11,2019-12-11
VX+VXT52/Z9,2019-12-24,2019-12-24
VX+VXT53/Z9,2019-12-31,2019-12-31
VX+VXT/F0,2020-01-22,2020-01-22
VX+VXT/G0,2020-02-19,2020-02-19
VX+VXT/H0,2020-03-18,2020-03-18
VX+VXT/J0,2020-04-15,2020-04-15
VX+VXT/K0,2020-05-20,2020-05-20
VX+VXT/M0,2020-06-17,2020-06-17
VX+VXT/N0,2020-07-22,2020-07-22
VX+VXT/Q0,2020-08-19,2020-08-19
VX+VXT/U0,2020-09-16,2020-09-16
VX+VXT/V0,2020-10-21,2020-10-21
VX+VXT/X0,2020-11-18,2020-11-18
VX+VXT/Z0,2020-12-16,2020-12-16
VX+VXT01/F0,2020-01-08,2020-01-08
VX+VXT02/F0,2020-01-15,2020-01-15
VX+VXT04/F0,2020-01-29,2020-01-29
VX+VXT05/G0,2020-02-05,2020-02-05
VX+VXT06/G0,2020-02-12,2020-02-12
VX+VXT08/G0,2020-02-26,2020-02-26
VX+VXT09/H0,2020-03-04,2020-03-04
VX+VXT10/H0,2020-03-10,2020-03-10
VX+VXT12/H0,2020-03-25,2020-03-25
VX+VXT13/J0,2020-04-01,2020-04-01
VX+VXT14/J0,2020-04-08,2020-04-08
VX+VXT16/J0,2020-04-22,2020-04-22
VX+VXT17/J0,2020-04-29,2020-04-29
VX+VXT18/K0,2020-05-06,2020-05-06
VX+VXT19/K0,2020-05-13,2020-05-13
VX+VXT21/K0,2020-05-27,2020-05-27
VX+VXT22/M0,2020-06-02,2020-06-02
VX+VXT23/M0,2020-06-10,2020-06-10
VX+VXT25/M0,2020-06-24,2020-06-24
VX+VXT26/N0,2020-07-01,2020-07-01
VX+VXT27/N0,2020-07-08,2020-07-08
VX+VXT28/N0,2020-07-15,2020-07-15
VX+VXT30/N0,2020-07-29,2020-07-29
VX+VXT31/Q0,2020-08-05,2020-08-05
VX+VXT32/Q0,2020-08-12,2020-08-12
VX+VXT34/Q0,2020-08-26,2020-08-26
VX+VXT35/U0,2020-09-02,2020-09-02
VX+VXT36/U0,2020-09-09,2020-09-09
VX+VXT38/U0,2020-09-23,2020-09-23
VX+VXT39/U0,2020-09-30,2020-09-30
VX+VXT40/V0,2020-10-07,2020-10-07
