Symbol,Key,Strategy,TradePnL,TradePnLSD,TradePnL_5,TradePnL_95,TGP,TGPSD,TGP_5,TGP_95,Trades,Nfamily
EURUSD=X,EURUSD=X_14_50_35,MACD,-1.556875,3.69143484084584,-8,1.0925,-11.4166666666667,222.989370499945,-408.6,398.5,7288,384
EURUSD=X,EURUSD=X_17_50_7,MACD,-1.61260416666667,2.67988815351516,-6.89,1.06,-31.7057291666667,154.597242648289,-338.25,215.1,10385,384
EURUSD=X,EURUSD=X_14_72_24,MACD,-1.660625,3.31085958388611,-8.74,1.64,-5.29166666666667,215.469208896755,-396.9,416.2,7145,384
EURUSD=X,EURUSD=X_14_50_16,MACD,-1.67635416666667,3.11449687405667,-7.91,1.79,-22.8046875,126.772718148436,-285,164.5,8917,384
EURUSD=X,EURUSD=X_21_50_10,MACD,-1.7,3.01738366975867,-7.72,1.4425,-29.0078125,140.876619319603,-295.55,195.95,9025,384
EURUSD=X,EURUSD=X_12_50_24,MACD,-1.710625,3.67698755777063,-8.82,2.6175,-22.1666666666667,152.147579631802,-278.9,194,8386,384
EURUSD=X,EURUSD=X_17_72_10,MACD,-1.72041666666667,3.96247023343737,-8.88,2.6125,-22.09375,157.305083707785,-349.7,253.5,8257,384
EURUSD=X,EURUSD=X_14_50_24,MACD,-1.72135416666667,3.4710491724342,-8.71,1.3475,-17.1380208333333,192.646239490436,-406.75,281.2,8032,384
EURUSD=X,EURUSD=X_21_50_7,MACD,-1.80927083333333,2.73975767072532,-7.38,0.95,-37.015625,145.935300824586,-284,221,9822,384
EURUSD=X,EURUSD=X_12_50_7,MACD,-1.85427083333333,2.02657956317466,-5.64,0.42,-35.1380208333333,144.30108577145,-308,191.4,10691,384
EURUSD=X,EURUSD=X_12_72_35,MACD,-1.8559375,4.39491634029112,-10.78,3.87,-8.25,188.678944573385,-329.7,304.7,6495,384
EURUSD=X,EURUSD=X_12_60_7,MACD,-1.94260416666667,2.02226618311015,-5.58,0.1475,-34.7447916666667,148.930363715765,-340.1,199.55,10940,384
EURUSD=X,EURUSD=X_17_72_16,MACD,-1.9671875,3.62667622315966,-8.78,2.1925,-9.21354166666667,195.760207191193,-397.75,346,8228,384
EURUSD=X,EURUSD=X_17_60_7,MACD,-2.08791666666667,2.83837162978563,-7.5,1.085,-35.7864583333333,126.030876998998,-324.85,172.95,9879,384
EURUSD=X,EURUSD=X_17_149_16,MACD,-2.11854166666667,4.13488241522287,-9.0125,2.385,-6.34114583333333,170.070453147131,-383.85,268.85,6933,384
EURUSD=X,EURUSD=X_25_50_10,MACD,-2.11958333333333,3.36040314519636,-8.3925,1.4175,-30.3463541666667,166.410365517555,-335.35,280.85,8939,384
EURUSD=X,EURUSD=X_25_50_16,MACD,-2.17229166666667,3.41655704787781,-8.62,0.66,-27.6328125,195.802941025569,-353.05,316.4,8065,384
EURUSD=X,EURUSD=X_14_72_16,MACD,-2.18375,4.03539713039498,-10.18,1.62,-24.6380208333333,198.540790903203,-334.25,232.599999999999,8392,384
EURUSD=X,EURUSD=X_17_60_10,MACD,-2.19458333333333,2.79260938782753,-7.92,0.83,-33.0182291666667,123.067801393934,-284,161.85,8968,384
EURUSD=X,EURUSD=X_12_60_16,MACD,-2.241875,3.13766098349844,-8.51,0.805,-34.71875,142.867606782941,-314.7,205.599999999999,8856,384
EURUSD=X,EURUSD=X_25_50_7,MACD,-2.26041666666667,3.11606361554772,-8.65,0.715,-26.8619791666667,151.440564605667,-299,252,9251,384
EURUSD=X,EURUSD=X_14_50_10,MACD,-2.29625,2.16206930606087,-6.22,-0.21,-27.859375,133.480192898475,-295.95,184.85,9544,384
EURUSD=X,EURUSD=X_17_50_10,MACD,-2.29885416666667,2.45262646319868,-7.17,0.2075,-22.578125,149.386208571467,-328.3,208.25,9306,384
EURUSD=X,EURUSD=X_12_72_24,MACD,-2.30875,3.50879443984008,-9.09,1.52,-29.1197916666667,206.194352344723,-396,338.9,8071,384
EURUSD=X,EURUSD=X_14_50_7,MACD,-2.30989583333333,2.09324804011759,-5.25,-0.38,-41.578125,123.74535522839,-300,164.7,10706,384
EURUSD=X,EURUSD=X_10_60_7,MACD,-2.4075,1.93294267075386,-5.74,-0.43,-43.6666666666667,145.359564388089,-358,144.85,11318,384
EURUSD=X,EURUSD=X_21_50_16,MACD,-2.41,3.10510920224953,-8.59,0.36,-26.7369791666667,184.761453959368,-355,268,8147,384
EURUSD=X,EURUSD=X_10_60_35,MACD,-2.42854166666667,3.46848790933354,-9.3,2.1575,-20.8515625,210.908172630051,-426.4,358.25,7932,384
EURUSD=X,EURUSD=X_17_50_16,MACD,-2.47322916666667,3.02237637239367,-8.13,1.32,-32.7421875,149.591728773337,-345,200,9031,384
EURUSD=X,EURUSD=X_14_124_16,MACD,-2.48614583333333,3.05395356177139,-8.74,0.7,-14.1458333333333,171.854330152001,-288.5,255.85,7751,384
EURUSD=X,EURUSD=X_10_60_10,MACD,-2.49989583333333,2.23452785300994,-6.5,-0.06,-43.2109375,144.331934607077,-344,164.1,10492,384
EURUSD=X,EURUSD=X_30_50_7,MACD,-2.54322916666667,2.73948266141492,-8.08,0.49,-32.6953125,146.85951219658,-353.1,193.2,9548,384
EURUSD=X,EURUSD=X_17_60_24,MACD,-2.5509375,3.18009535710223,-8.57,0.76,-20.2630208333333,186.503378719742,-349.1,330.7,7200,384
EURUSD=X,EURUSD=X_14_72_10,MACD,-2.56927083333333,2.89334053694329,-8.5,0.37,-34.4583333333333,138.300627379298,-303.55,198.4,9310,384
EURUSD=X,EURUSD=X_25_60_7,MACD,-2.57458333333333,3.05582994727564,-8.72,0.2975,-38.5598958333333,166.17745573563,-348,247.549999999999,9013,384
EURUSD=X,EURUSD=X_17_104_10,MACD,-2.59677083333333,3.15550663036829,-8.89,1.12,-24.90625,175.736871791464,-421.85,254.4,8529,384
EURUSD=X,EURUSD=X_14_60_7,MACD,-2.74697916666667,2.26865882930244,-6.61,-0.25,-48.8723958333333,127.705159236229,-357,108.85,10456,384
EURUSD=X,EURUSD=X_12_60_10,MACD,-2.78552083333333,2.42871630368224,-6.81,-0.47,-40.4765625,135.897152298251,-326,179.1,10224,384
EURUSD=X,EURUSD=X_12_72_7,MACD,-2.8228125,2.42870409591747,-6.67,-0.1525,-49.7213541666667,169.073169885659,-382,154.5,10655,384
EURUSD=X,EURUSD=X_14_72_35,MACD,-2.87520833333333,4.45609835929587,-12.68,1.2325,-17.0390625,210.102364794091,-446.15,335.8,6247,384
EURUSD=X,EURUSD=X_14_60_10,MACD,-2.8878125,2.55418550335059,-7.66,-0.29,-41.5911458333333,108.049002637726,-307,107.7,9556,384
EURUSD=X,EURUSD=X_10_50_35,MACD,-2.88989583333333,3.2131363575474,-9.07,0.32,-32.3619791666667,184.583170841636,-332.55,270.7,8085,384
EURUSD=X,EURUSD=X_12_60_35,MACD,-2.90125,3.01624557495259,-8.63,0.08,-24.4322916666667,187.411780740352,-368.7,322.7,7299,384
EURUSD=X,EURUSD=X_12_72_10,MACD,-2.91822916666667,2.63138226425087,-7.76,-0.3675,-44.1015625,141.998225994347,-302,126.1,9744,384
EURUSD=X,EURUSD=X_12_72_16,MACD,-2.97572916666667,3.17268299038151,-9.32,0.12,-44.703125,174.630427786073,-350.7,170,8936,384
EURUSD=X,EURUSD=X_14_72_7,MACD,-3.02739583333333,2.51388240096413,-7.55,-0.34,-50.4427083333333,153.863039191351,-361.25,131.5,10370,384
EURUSD=X,EURUSD=X_21_60_7,MACD,-3.0628125,2.81770593629304,-8.48,0.01,-49.3619791666667,130.153280641976,-336.85,107.8,9423,384
EURUSD=X,EURUSD=X_14_86_24,MACD,-3.07760416666667,3.49832854669398,-9.55,0.5375,-15.7864583333333,181.589403493302,-415.95,280.55,6845,384
EURUSD=X,EURUSD=X_12_86_24,MACD,-3.11572916666667,3.0789064172003,-8.42,-0.075,-32.3307291666667,179.872953404809,-353,254.25,7716,384
EURUSD=X,EURUSD=X_12_50_16,MACD,-3.11916666666667,2.67088578512691,-7.57,-0.6075,-39.5598958333333,127.749802617924,-275,156.7,9034,384
EURUSD=X,EURUSD=X_25_72_7,MACD,-3.1671875,2.91116388485322,-7.81,-0.4825,-38.8958333333333,176.169111085369,-318,267.05,8773,384
EURUSD=X,EURUSD=X_12_50_53,MACD,-3.18572916666667,3.83180093560296,-11.48,0.7025,-12.28125,183.809908796565,-346.25,295.55,6922,384
EURUSD=X,EURUSD=X_14_104_16,MACD,-3.20145833333333,3.22004118285749,-9.45,0.5025,-29.8203125,178.749723668741,-355.55,260,7992,384
EURUSD=X,EURUSD=X_14_86_16,MACD,-3.20479166666667,3.34293850539869,-9.74,0.5,-30.1119791666667,211.226211044236,-325.7,366.2,8110,384
EURUSD=X,EURUSD=X_10_60_16,MACD,-3.23541666666667,2.53408757239394,-7.66,-0.8,-46.9166666666667,127.975492649515,-300,128.85,9743,384
EURUSD=X,EURUSD=X_17_124_16,MACD,-3.33895833333333,3.77150297533788,-10.42,0.325,-26.5078125,163.291982287176,-319.65,212.599999999999,7191,384
EURUSD=X,EURUSD=X_12_60_53,MACD,-3.54010416666667,4.51610952615113,-12.94,1.0525,-20.5703125,160.408780203833,-294.75,241.7,6297,384
EURUSD=X,EURUSD=X_10_50_16,MACD,-3.60010416666667,2.74179368673393,-8.62,-1.15,-47.2838541666667,143.313292807364,-302,143.85,9541,384
EURUSD=X,EURUSD=X_17_124_10,MACD,-3.7796875,3.28359894118922,-9.66,-0.45,-41.2317708333333,167.170715048127,-378,244.85,8457,384
EURUSD=X,EURUSD=X_10_72_35,MACD,-3.88447916666667,3.55259278771869,-10.39,0.0225,-37.4140625,183.748019396175,-414.15,275.95,7126,384
EURUSD=X,EURUSD=X_30_60_16,MACD,-3.8953125,3.85393031186141,-11.47,-0.155,-30.0572916666667,173.090090636983,-377.7,211.85,6762,384
EURUSD=X,EURUSD=X_14_124_24,MACD,-4.12354166666667,3.87158935925114,-11,-0.12,-29.7265625,156.076571964181,-351.25,211.05,6767,384
EURUSD=X,EURUSD=X_21_60_24,MACD,-4.32770833333333,4.65798611987868,-14.11,0.4125,-36,178.960138216576,-355,285.65,6724,384
EURUSD=X,EURUSD=X_12_124_24,MACD,-4.40697916666667,3.54233289760521,-10.07,-1.17,-40.6953125,166.789664070149,-378.25,189.4,7278,384
EURUSD=X,EURUSD=X_14_60_53,MACD,-4.45635416666667,5.1912765126836,-14.04,0.6975,-34.03125,157.957835741259,-365.25,219.55,6169,384
EURUSD=X,EURUSD=X_25_60_16,MACD,-4.53604166666667,3.84911732305819,-12.85,-1.01,-45.9791666666667,159.926842228252,-351.7,164.4,7471,384
EURUSD=X,EURUSD=X_12_50_120,MACD,-5.80520833333333,4.89824629824242,-16.2,-0.9325,-46.921875,159.39403574948,-432.1,139.85,5901,384
EURUSD=X,EURUSD=X_17_60_53,MACD,-6.60979166666667,5.23655933226683,-16.06,-1.5975,-59.0703125,144.778277419075,-349,117.8,6175,384
EURUSD=X,EURUSD=X_14_60_80,MACD,-6.7853125,5.52804009299289,-17.57,-1.255,-55.9739583333333,138.084676594252,-434,82.85,5894,384
USDPLN=X,USDPLN=X_10_104_7,MACD,-0.601145833333333,4.18547560519311,-7.3025,2.8775,2.22395833333333,303.563779111521,-615,474.599999999999,11078,384
