Symbol,Class,Methodology,Ndx,Trend_Strength,Flat,Dynamic_limits,ticker,data_type,leverage,max_risk,reward_ratio,capital,Strategy,Total Gross Profit,Annualized Profit,Largest Trade Win,Average Trade Win,Average Daily Profit,Length of Average Win,Max Winning Streak,Max Drawdown,Largest Trade Loss,Average Trade Loss,Average Daily Loss,Length of Average Loss,Max Losing Streak,Number of Trades Per Year,Percentage of Winning Trades,Expected Trade Result,Percentage of Positive Profit Days,Calmar Ratio,Period,key,key2
EURUSD=X,FX,ADX:,5,40,FALSE,FALSE,EURUSD=X,out_of_sample,1,0.1,7,1000,Passive,-16,-1.3,Not Applicable,Not Applicable,3.13,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.8,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1538,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_FALSE_FALSE_1_0.1_7,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Active,660,49.41,329,102,19.17,42,6,-18.73,-104,-86,-16.76,14,2,7,69,11.04,64,2.638,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_5_40_FALSE_FALSE_5_0.1_7,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_FALSE_FALSE_5_0.1_7,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,TRUE,EURUSD=X,out_of_sample,1,0.1,3,1000,Active,117,9.16,53,18,3.36,42,6,-3.99,-17,-14,-2.93,14,2,7,69,2.76,64,2.2957,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_5_40_FALSE_TRUE_1_0.1_3,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,TRUE,EURUSD=X,out_of_sample,1,0.1,3,1000,Passive,-16,-1.3,Not Applicable,Not Applicable,3.13,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.8,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1538,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_FALSE_TRUE_1_0.1_3,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,TRUE,EURUSD=X,out_of_sample,1,0.1,7,1000,Active,117,9.16,53,18,3.36,42,6,-3.99,-17,-14,-2.93,14,2,7,69,2.76,64,2.2957,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_5_40_FALSE_TRUE_1_0.1_7,EURUSD=X_5
EURUSD=X,FX,ADX:,5,40,FALSE,TRUE,EURUSD=X,out_of_sample,1,0.1,7,1000,Passive,-16,-1.3,Not Applicable,Not Applicable,3.13,Not Applicable,Not Applicable,-8.45,Not Applicable,Not Applicable,-2.8,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.1538,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_5_40_FALSE_TRUE_1_0.1_7,EURUSD=X_5
EURUSD=X,FX,ADX:,6,35,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,3,1000,Active,128,10.04,186,60,16.22,35,6,-34.19,-109,-78,-15.89,12,2,9,59,-10.62,59,0.2937,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_6_35_TRUE_FALSE_5_0.1_3,EURUSD=X_6
EURUSD=X,FX,ADX:,6,35,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,3,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_6_35_TRUE_FALSE_5_0.1_3,EURUSD=X_6
EURUSD=X,FX,ADX:,6,35,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Active,128,10.04,186,60,16.22,35,6,-34.19,-109,-78,-15.89,12,2,9,59,-10.62,59,0.2937,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_6_35_TRUE_FALSE_5_0.1_7,EURUSD=X_6
EURUSD=X,FX,ADX:,6,35,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_6_35_TRUE_FALSE_5_0.1_7,EURUSD=X_6
EURUSD=X,FX,ADX:,14,40,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,3,1000,Active,-110,-8.78,0,NaN,11.6,,0,-16.95,-110,-110,-13.24,188,1,2,0,NaN,0,-0.518,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_14_40_TRUE_FALSE_5_0.1_3,EURUSD=X_14
EURUSD=X,FX,ADX:,14,40,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,3,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_14_40_TRUE_FALSE_5_0.1_3,EURUSD=X_14
EURUSD=X,FX,ADX:,14,40,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Active,-110,-8.78,0,NaN,11.6,,0,-16.95,-110,-110,-13.24,188,1,2,0,NaN,0,-0.518,2024-01-02 to 2025-03-21,EURUSD=X_Active_ADX:_14_40_TRUE_FALSE_5_0.1_7,EURUSD=X_14
EURUSD=X,FX,ADX:,14,40,TRUE,FALSE,EURUSD=X,out_of_sample,5,0.1,7,1000,Passive,-126,-10.11,Not Applicable,Not Applicable,13.62,Not Applicable,Not Applicable,-36.79,Not Applicable,Not Applicable,-12.51,Not Applicable,Not Applicable,0,Not Applicable,Not Applicable,Not Applicable,-0.2748,2024-01-02 to 2025-03-21,EURUSD=X_Passive_ADX:_14_40_TRUE_FALSE_5_0.1_7,EURUSD=X_14
